Plant,Material,Storage location,Key,MRP Controller,MRP Type,Material type,Material Group,Val. stock,Val. stock,ValStckVal,ValStckVal,CnsgtStock,CnsgtStock,Val.Stock in May 2025,Increase
"11F2 SHP Process Complex, UT OFFSHO",360901200 PICKUP,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO360901200 PICKUP11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,36        Rotating Equip-MOP,0,NO,0,INR,0,NO,"1,02,80,448.06",10280448.06
"11F2 SHP Process Complex, UT OFFSHO",221358532 LIMIT SWITCH,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO221358532 LIMIT SWITCH11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,25,NO,9184357.21,INR,0,NO,"91,84,357.21",0
"11F2 SHP Process Complex, UT OFFSHO",110000283 OIL SYNTHETIC FOR AVON/RR TURBINES SIEM*,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO110000283 OIL SYNTHETIC FOR AVON/RR TURBINES SIEM*11F2FP25                       Maint.Spares-PEL",AAS AAS,ND No planning,ZSTO ONGC Stores,"11        Oil, grease and lub",971,L,1158208.8,INR,0,L,"91,75,753.44",8017544.64
"11F2 SHP Process Complex, UT OFFSHO",220017075 PAD(JOURNAL BRG)& PAD (JOURNAL BRG W/RT*,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220017075 PAD(JOURNAL BRG)& PAD (JOURNAL BRG W/RT*11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,6,ST,9045922.26,INR,0,ST,"90,45,922.26",0
"11F2 SHP Process Complex, UT OFFSHO","150001727 GATE VALVE 4 1/16"", 5 M, HWO, FLANGED E*",11F2NP02                       NH-PEL-02,"11F2 SHP Process Complex, UT OFFSHO150001727 GATE VALVE 4 1/16"", 5 M, HWO, FLANGED E*11F2NP02                       NH-PEL-02",AAS AAS,ND No planning,ZSTO ONGC Stores,15        Tubing pipe& fitting,0,NO,0,INR,0,NO,"88,49,180.23",8849180.23
"11F2 SHP Process Complex, UT OFFSHO",210041172 AUTOCHARGING PUMP,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO210041172 AUTOCHARGING PUMP11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,"21        Spare-Rig, DG etc.",0,NO,0,INR,0,NO,"82,66,567.11",8266567.11
"11F2 SHP Process Complex, UT OFFSHO",220095206 SHG PGC CONTROL SYSTEM FT125 KIT-4,11F2NP64                       Vaishvi-Yrd PEL,"11F2 SHP Process Complex, UT OFFSHO220095206 SHG PGC CONTROL SYSTEM FT125 KIT-411F2NP64                       Vaishvi-Yrd PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"75,24,078.00",7524078
"11F2 SHP Process Complex, UT OFFSHO",220006308 JOURNAL BEARING SS SHAFT (NON LOC),11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220006308 JOURNAL BEARING SS SHAFT (NON LOC)11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,6,NO,6953933.04,INR,0,NO,"69,53,933.04",0
"11F2 SHP Process Complex, UT OFFSHO","280015673 OCR, AGR-11BL-AL",11F2NP26                       NH-PEL-26,"11F2 SHP Process Complex, UT OFFSHO280015673 OCR, AGR-11BL-AL11F2NP26                       NH-PEL-26",AAP AAP,ND No planning,ZSPR ONGC Spares,28        Spare-ElectricPlant,0,NO,0,INR,0,NO,"69,29,894.65",6929894.65
"11F2 SHP Process Complex, UT OFFSHO",221445170 TRANSITION DUCT,11F2NP11                       NH-PEL-11,"11F2 SHP Process Complex, UT OFFSHO221445170 TRANSITION DUCT11F2NP11                       NH-PEL-11",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"69,03,606.28",6903606.28
"11F2 SHP Process Complex, UT OFFSHO",270010997 STARTER MOTOR,11F2NP06                       NH-PEL-06,"11F2 SHP Process Complex, UT OFFSHO270010997 STARTER MOTOR11F2NP06                       NH-PEL-06",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,0,NO,0,INR,0,NO,"65,46,459.16",6546459.16
"11F2 SHP Process Complex, UT OFFSHO","220022017 JOURNAL BRG PAD SET,DISCHARGE SIDE(4""),*",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220022017 JOURNAL BRG PAD SET,DISCHARGE SIDE(4""),*11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,4,ST,6297337.22,INR,0,ST,"62,97,337.22",0
"11F2 SHP Process Complex, UT OFFSHO","210026083 KIT, SWING DRIVE",11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO210026083 KIT, SWING DRIVE11F2FN01                       SHP-Main-01",AAP AAP,ND No planning,ZSPR ONGC Spares,"21        Spare-Rig, DG etc.",0,NO,0,INR,0,NO,"60,89,807.08",6089807.08
"11F2 SHP Process Complex, UT OFFSHO","270010991 SPEED TRAP,AIR INTAKE SHUT-OFF",11F2NP06                       NH-PEL-06,"11F2 SHP Process Complex, UT OFFSHO270010991 SPEED TRAP,AIR INTAKE SHUT-OFF11F2NP06                       NH-PEL-06",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,0,NO,0,INR,0,NO,"57,59,406.96",5759406.96
"11F2 SHP Process Complex, UT OFFSHO",400001078 8 POINT RELAY MODULE,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO400001078 8 POINT RELAY MODULE11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,40        Fire And Safety-MOP,0,NO,0,INR,0,NO,"57,14,755.90",5714755.9
"11F2 SHP Process Complex, UT OFFSHO",220022950 PUMP,11F2FN25                       Maint.Spares,"11F2 SHP Process Complex, UT OFFSHO220022950 PUMP11F2FN25                       Maint.Spares",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"55,23,699.86",5523699.86
"11F2 SHP Process Complex, UT OFFSHO",410125018 HONEY COMB SEAL RING,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO410125018 HONEY COMB SEAL RING11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,41        Valves Fittings-MOP,2,NO,5407268.89,INR,0,NO,"54,07,268.89",0
